property_set_name,applicable_entities,applicable_type_value,property_definitions
Pset_ActionRequest,['IfcActionRequest'],,"[{'property_name': 'RequestSourceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_RequestSourceType', 'values': ['Email', 'Fax', 'Phone', 'Post', 'Verbal', 'Other', 'NotKnown', 'Unset']}}, {'property_name': 'RequestSourceLabel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'RequestSourceName', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcPerson'}}, {'property_name': 'RequestDescription', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}, {'property_name': 'RequestComments', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_RequestStatus', 'values': ['Hold', 'NoAction', 'Schedule', 'Urgent', 'Other', 'NotKnown', 'Unset']}}]"
Pset_ActorCommon,['IfcActor'],,"[{'property_name': 'NumberOfActors', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcCountMeasure', 'unit_type': 'None'}}, {'property_name': 'Category', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'SkillLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}]"
Pset_ActuatorTypeCommon,['IfcActuatorType'],,"[{'property_name': 'FailPosition', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_FailPosition', 'values': ['FailOpen', 'FailClosed', 'NotKnown', 'Unset']}}, {'property_name': 'ManualOverride', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}]"
Pset_ActuatorTypeElectricActuator,['IfcActuatorType'],IfcActuatorType.PredefinedType=ELECTRICACTUATOR,"[{'property_name': 'ActuatorInputPower', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': ['POWERUNIT']}}, {'property_name': 'ElectricActuatorType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElectricActuatorType', 'values': ['MotorDrive', 'Magnetic', 'Other', 'NotKnown', 'Unset']}}]"
Pset_ActuatorTypeHydraulicActuator,['IfcActuatorType'],IfcActuatorType.PredefinedType=HYDRAULICACTUATOR,"[{'property_name': 'InputPressure', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'InputFlowrate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}]"
Pset_ActuatorTypeLinearActuation,['IfcActuatorType'],,"[{'property_name': 'Force', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcForceMeasure', 'unit_type': ['FORCEUNIT']}}, {'property_name': 'Stroke', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}]"
Pset_ActuatorTypePneumaticActuator,['IfcActuatorType'],IfcActuatorType.PredefinedType=PNEUMATICACTUATOR,"[{'property_name': 'InputPressure', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'InputFlowrate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}]"
Pset_ActuatorTypeRotationalActuation,['IfcActuatorType'],,"[{'property_name': 'Torque', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcTorqueMeasure', 'unit_type': ['TORQUEUNIT']}}, {'property_name': 'RangeAngle', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': ['PLANEANGLEUNIT']}}]"
Pset_AirSideSystemInformation,"['IfcSpatialStructureElement', 'IfcSystem']",,"[{'property_name': 'Name', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'Description', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'AirSideSystemType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirSideSystemType', 'values': ['CONSTANTVOLUME', 'CONSTANTVOLUMESINGLEZONE', 'CONSTANTVOLUMEMULTIPLEZONEREHEAT', 'CONSTANTVOLUMEBYPASS', 'VARIABLEAIRVOLUME', 'VARIABLEAIRVOLUMEREHEAT', 'VARIABLEAIRVOLUMEINDUCTION', 'VARIABLEAIRVOLUMEFANPOWERED', 'VARIABLEAIRVOLUMEDUALCONDUIT', 'VARIABLEAIRVOLUMEVARIABLEDIFFUSERS', 'VARIABLEAIRVOLUMEVARIABLETEMPERATURE', 'OTHER', 'NOTKNOWN', 'UNSET\n']}}, {'property_name': 'AirSideSystemDistributionType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirSideSystemDistributionType', 'values': ['SINGLEDUCT', 'DUALDUCT', 'MULTIZONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'TotalAirflow', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'EnergyGainTotal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': ['POWERUNIT']}}, {'property_name': 'AirflowSensible', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'EnergyGainSensible', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': ['POWERUNIT']}}, {'property_name': 'EnergyLoss', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': ['POWERUNIT']}}, {'property_name': 'LightingDiversity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'InfiltrationDiversitySummer', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'InfiltrationDiversityWinter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'ApplianceDiversity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'LoadSafetyFactor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'HeatingTemperatureDelta', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'CoolingTemperatureDelta', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'Ventilation', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'FanPower', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': ['POWERUNIT']}}]"
Pset_AirTerminalBoxPHistory,['IfcPerformanceHistory'],,"[{'property_name': 'DamperPosition', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCPOSITIVERATIOMEASURE']}}, {'property_name': 'AtmosphericPressure', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['IFCPRESSUREMEASURE']}}, {'property_name': 'Sound', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'AirflowCurve', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}]"
