Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_BuildingBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcBuilding'],IfcBuilding,"[{'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'EavesHeight', 'property_type': 'IfcQuantityLength'}, {'property_name': 'FootprintArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_BuildingStoreyBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcBuildingStorey'],IfcBuildingStorey,"[{'property_name': 'GrossHeight', 'property_type': 'IfcQuantityLength'}, {'property_name': 'NetHeigtht', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_OpeningElementBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcOpeningElement'],IfcOpeningElement,"[{'property_name': 'Width', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Depth', 'property_type': 'IfcQuantityLength'}, {'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}]"
Qto_ProjectionElementBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcProjectionElement'],IfcProjectionElement,"[{'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Volume', 'property_type': 'IfcQuantityVolume'}]"
Qto_SiteBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSite'],IfcSite,"[{'property_name': 'GrossPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossArea', 'property_type': 'IfcQuantityArea'}]"
Qto_SpaceBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSpace'],IfcSpace,"[{'property_name': 'Height', 'property_type': 'IfcQuantityLength'}, {'property_name': 'FinishCeilingHeight', 'property_type': 'IfcQuantityLength'}, {'property_name': 'FinishFloorHeight', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'NetPerimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetFloorArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWallArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetWallArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossCeilingArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCeilingArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}]"
Qto_BeamBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcBeam'],IfcBeam,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_BuildingElementProxyQuantities,QTO_OCCURRENCEDRIVEN,['IfcBuildingElementProxy'],IfcBuildingElementProxy,"[{'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityCount'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityCount'}]"
Qto_ChimneyBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcChimney'],IfcChimney,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}]"
Qto_ColumnBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcColumn'],IfcColumn,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
