measure_type,unit_type,named_or_derived
IfcAbsorbedDoseMeasure,ABSORBEDDOSEUNIT,Named
IfcAccelerationMeasure,ACCELERATIONUNIT,Derived
IfcAmountOfSubstanceMeasure,AMOUNTOFSUBSTANCEUNIT,Named
IfcAngularVelocityMeasure,ANGULARVELOCITYUNIT,Derived
IfcAreaDensityMeasure,AREADENSITYUNIT,Derived
IfcAreaMeasure,AREAUNIT,Named
IfcCompoundPlaneAngleMeasure,COMPOUNDPLANEANGLEUNIT,Derived
IfcContextDependentMeasure,NO_UNIT,
IfcCountMeasure,NO_UNIT,
IfcCurvatureMeasure,CURVATUREUNIT,Derived
IfcDescriptiveMeasure,NO_UNIT,
IfcDoseEquivalentMeasure,DOSEEQUIVALENTUNIT,Named
IfcDynamicViscosityMeasure,DYNAMICVISCOSITYUNIT,Derived
IfcElectricCapacitanceMeasure,ELECTRICCAPACITANCEUNIT,Named
IfcElectricChargeMeasure,ELECTRICCHARGEUNIT,Named
IfcElectricConductanceMeasure,ELECTRICCONDUCTANCEUNIT,Named
IfcElectricCurrentMeasure,ELECTRICCURRENTUNIT,Named
IfcElectricResistanceMeasure,ELECTRICRESISTANCEUNIT,Named
IfcElectricVoltageMeasure,ELECTRICVOLTAGEUNIT,Named
IfcEnergyMeasure,ENERGYUNIT,Named
IfcForceMeasure,FORCEUNIT,Named
IfcFrequencyMeasure,FREQUENCYUNIT,Named
IfcHeatFluxDensityMeasure,HEATFLUXDENSITYUNIT,Derived
IfcHeatingValueMeasure,HEATINGVALUEUNIT,Derived
IfcIlluminanceMeasure,ILLUMINANCEUNIT,Named
IfcInductanceMeasure,INDUCTANCEUNIT,Named
IfcIntegerCountRateMeasure,INTEGERCOUNTRATEUNIT,Derived
IfcIonConcentrationMeasure,IONCONCENTRATIONUNIT,Derived
IfcIsothermalMoistureCapacityMeasure,ISOTHERMALMOISTURECAPACITYUNIT,Derived
IfcKinematicViscosityMeasure,KINEMATICVISCOSITYUNIT,Derived
IfcLengthMeasure,LENGTHUNIT,Named
IfcLinearForceMeasure,LINEARFORCEUNIT,Derived
IfcLinearMomentMeasure,LINEARMOMENTUNIT,Derived
IfcLinearStiffnessMeasure,LINEARSTIFFNESSUNIT,Derived
IfcLinearVelocityMeasure,LINEARVELOCITYUNIT,Derived
IfcLuminousFluxMeasure,LUMINOUSFLUXUNIT,Named
IfcLuminousIntensityDistributionMeasure,LUMINOUSINTENSITYDISTRIBUTIONUNIT,Derived
IfcLuminousIntensityMeasure,LUMINOUSINTENSITYUNIT,Named
IfcMagneticFluxDensityMeasure,MAGNETICFLUXDENSITYUNIT,Named
IfcMagneticFluxMeasure,MAGNETICFLUXUNIT,Named
IfcMassDensityMeasure,MASSDENSITYUNIT,Derived
