Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_ActuatorBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcActuator', 'IfcActuatorType']","IfcActuator,IfcActuatorType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_AirTerminalBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcAirTerminal', 'IfcAirTerminalType']","IfcAirTerminal,IfcAirTerminalType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'Perimeter', 'property_type': 'IfcQuantityLength'}, {'property_name': 'TotalSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
Qto_AirTerminalBoxTypeBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcAirTerminalBox', 'IfcAirTerminalBoxType']","IfcAirTerminalBox,IfcAirTerminalBoxType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_AirToAirHeatRecoveryBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcAirToAirHeatRecovery', 'IfcAirToAirHeatRecoveryType']","IfcAirToAirHeatRecovery,IfcAirToAirHeatRecoveryType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_AlarmBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcAlarm', 'IfcAlarmType']","IfcAlarm,IfcAlarmType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ArealStratumBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcGeotechnicalStratum'],IfcGeotechnicalStratum,"[{'property_name': 'Area', 'property_type': 'IfcQuantityArea'}, {'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'PlanLength', 'property_type': 'IfcQuantityLength'}]"
Qto_AudioVisualApplianceBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcAudioVisualAppliance', 'IfcAudioVisualApplianceType']","IfcAudioVisualAppliance,IfcAudioVisualApplianceType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_BeamBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcBeam', 'IfcBeamType']","IfcBeam,IfcBeamType","[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'CrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_BodyGeometryValidation,QTO_OCCURRENCEDRIVEN,['IfcProduct'],IfcProduct,"[{'property_name': 'GrossSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'NetVolume', 'property_type': 'IfcQuantityVolume'}, {'property_name': 'SurfaceGenusBeforeFeatures', 'property_type': 'IfcQuantityCount'}, {'property_name': 'SurfaceGenusAfterFeatures', 'property_type': 'IfcQuantityCount'}]"
Qto_BoilerBaseQuantities,QTO_TYPEDRIVENOVERRIDE,"['IfcBoiler', 'IfcBoilerType']","IfcBoiler,IfcBoilerType","[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'TotalSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
