# Coordinate System Dictionary from the Coordinate System Mapping Package (CS-MAP) library.  This dictionary contains  geodetic datum keys generated from datums.asc of the OSGeo CS-MAP
# distribution (Copyright (c) 2008 Autodesk, Inc., BSD license). Snapshot 2025-02-16, EPSG sync 11.008.
key,epsg_datum_code,description
ABIDJAN-87,,"Abidjan 1987, Ivory Coast (replaces Locodjo)"
Abidjan1987,6143,Abidjan 1987
Abidjan87,,Replaced by Abidjan1987 which uses GEOCENTRIC transformation
AbInvA96_2020-IRF,1273,AbInvA96_2020 Intermediate Reference Frame
ACCRA,,"Accra 1929, Ghana"
Accra-MOD,,Replaced by Accra1929 which uses GEOCENTRIC transformation
Accra1929,6168,"Accra 1929 modified, Ghana"
ADIND-C,,"Adindan (Blue Nile 1958), Cameroon"
ADIND-M,,"Adindan, mean for Burkina Faso, Guinea, Mali and Senegal"
ADINDAN,6201,"Adindan (Blue Nile 1958), mean for Ethiopia and Sudan"
ADINDAN-B,,"Adindan (Blue Nile 1958), Burkina Faso"
ADINDAN-E,,"Adindan (Blue Nile 1958), Ethiopia"
ADINDAN-M,,"Adindan (Blue Nile 1958), Mali"
ADINDAN-S,,"Adindan (Blue Nile 1958), Senegal"
ADINDAN-SU,,"Adindan (Blue Nile 1958), Sudan"
ADOS714,,"Astro POS 71/4, St. Helena Island"
AFG,,"Afgooye, Somalia"
AFGOOYE,6205,"Afgooye, Somalia"
AINELABD,6204,"Ain el Adb 1970, Bahrain Island"
AINELABD-S,,"Ain el Adb 1970, Saudi Arabia"
Albanian1987,6191,Albanian 1987
Albanian87,6191,"Deprecated (wrong rotation signs), use Albanian1987"
AMERFORT,,"ZZ: INCORRECT-Amersfoort Datum, Molodensky Transformation"
AMERFORT-7P,,"Amersfoort 1885/1903, Netherlands (7 Parameter Transform)"
AMERFORT-BW,,"ZZ: INCORRECT-Amersfoort Datum, Bursa/Wolfe Transformation"
AMERFORT-EP,,"Amersfoort 1885/1903, Netherlands, Molodensky Transformation"
Amersfoort,6289,Deprecated by EPSG synch. Replaced by Amersfoort/a.
Amersfoort/a,6289,Deprecated by EPSG synch. Replaced by Amersfoort/b.
Amersfoort/b,6289,"Netherlands, On shore"
AMMAS-7P,,"Ammassalik 1958, Greenland (7 Parameter Transform)"
Ammassalik58,6196,Deprecated by EPSG synch. Replaced by Ammassalik58a.
Ammassalik58a,6196,"Deprecated (rotation sign), replaced by Ammassalik58b."
Ammassalik58b,6196,Ammassalik 1958
AmSamoa62,,Replaced by Samoa1962 which uses GEOCENTRIC transformation
