IfcBuildingElementProxyTypeEnum, "PROVISIONFORSPACE"
IfcBuildingElementProxyTypeEnum, "PROVISIONFORVOID"
IfcFireSuppressionTerminal, "SPRINKLERDEFLECTOR"
IfcFireSuppressionTerminalType, "SPRINKLERDEFLECTOR"
IfcCableCarrierFitting, "TEE" or "CROSS" or "REDUCER"
IfcCableCarrierFittingType, "TEE" or "CROSS" or "REDUCER"
IfcGeographicElement, "SOIL_BORING_POINT"
IfcGeographicElementType, "SOIL_BORING_POINT"
IfcGeographicElementTypeEnum, "SOIL_BORING_POINT"
IfcSpace, "INTERNAL" or "EXTERNAL"
IfcSpaceType, "INTERNAL" or "EXTERNAL"
