Name,ApplicableClasses
Pset_ActionRequest,IfcActionRequest
Pset_ActorCommon,IfcActor
Pset_ActuatorTypeCommon,IfcActuatorType
Pset_ActuatorTypeElectricActuator,IfcActuatorType
Pset_ActuatorTypeHydraulicActuator,IfcActuatorType
Pset_ActuatorTypeLinearActuation,IfcActuatorType
Pset_ActuatorTypePneumaticActuator,IfcActuatorType
Pset_ActuatorTypeRotationalActuation,IfcActuatorType
Pset_AirSideSystemInformation,IfcSpatialStructureElement;IfcSystem
Pset_AirTerminalBoxPHistory,IfcPerformanceHistory
Pset_AirTerminalBoxTypeCommon,IfcAirTerminalBoxType
Pset_AirTerminalPHistory,IfcPerformanceHistory
Pset_AirTerminalTypeCommon,IfcAirTerminalType
Pset_AirTerminalTypeRectangular,IfcAirTerminalType
Pset_AirTerminalTypeRound,IfcAirTerminalType
Pset_AirTerminalTypeSlot,IfcAirTerminalType
Pset_AirTerminalTypeSquare,IfcAirTerminalType
Pset_AirToAirHeatRecoveryPHist,IfcPerformanceHistory
Pset_AirToAirHeatRecoveryTypeCommon,IfcAirToAirHeatRecoveryType
Pset_AnalogInput,IfcDistributionControlElement
Pset_AnalogOutput,IfcDistributionControlElement
Pset_Asset,IfcAsset
Pset_BeamCommon,IfcBeam
Pset_BinaryInput,IfcDistributionControlElement
Pset_BinaryOutput,IfcDistributionControlElement
Pset_BoilerPHistory,IfcPerformanceHistory
Pset_BoilerTypeCommon,IfcBoilerType
Pset_BoilerTypeSteam,IfcBoilerType
Pset_BuildingCommon,IfcBuilding
Pset_BuildingElementProxyCommon,IfcBuildingElementProxy
Pset_BuildingStoreyCommon,IfcBuildingStorey
Pset_BuildingUse,IfcBuilding
Pset_BuildingUseAdjacent,IfcBuilding
Pset_BuildingWaterStorage,IfcBuilding
Pset_CableCarrierSegmentTypeCableLadderSegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeCableTraySegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeCableTrunkingSegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeConduitSegment,IfcCableCarrierSegmentType
Pset_CableSegmentTypeCableSegment,IfcCableSegmentType
Pset_CableSegmentTypeConductorSegment,IfcCableSegmentType
Pset_ChillerPHistory,IfcPerformanceHistory
Pset_ChillerTypeCommon,IfcChillerType
Pset_CoilPHistory,IfcPerformanceHistory
Pset_CoilTypeCommon,IfcCoilType
Pset_CoilTypeHydronic,IfcCoilType
Pset_ColumnCommon,IfcColumn
Pset_CompressorPHistory,IfcPerformanceHistory
Pset_CompressorTypeCommon,IfcCompressorType
Pset_ConcreteElementGeneral,IfcBeam;IfcBuildingElementPart;IfcBuildingElementProxy;IfcColumn;IfcCovering;IfcCurtainWall;IfcDoor;IfcFooting;IfcMember;IfcPile;IfcRailing;IfcRamp;IfcRampFlight;IfcRoof;IfcSlab;IfcStair;IfcStairFlight;IfcWall;IfcWallStandardCase
Pset_ConcreteElementQuantityGeneral,IfcBeam;IfcBuildingElementPart;IfcBuildingElementProxy;IfcColumn;IfcCovering;IfcCurtainWall;IfcDoor;IfcFooting;IfcMember;IfcPile;IfcRailing;IfcRamp;IfcRampFlight;IfcRoof;IfcSlab;IfcStair;IfcStairFlight;IfcWall;IfcWallStandardCase
Pset_ConcreteElementSurfaceFinishQuantityGeneral,IfcBeam;IfcBuildingElementPart;IfcBuildingElementProxy;IfcColumn;IfcCovering;IfcCurtainWall;IfcDoor;IfcFooting;IfcMember;IfcPile;IfcRailing;IfcRamp;IfcRampFlight;IfcRoof;IfcSlab;IfcStair;IfcStairFlight;IfcWall;IfcWallStandardCase
Pset_CondenserPHistory,IfcPerformanceHistory
Pset_CondenserTypeCommon,IfcCondenserType
Pset_ControllerTypeCommon,IfcControllerType
Pset_ControllerTypeProportional,IfcControllerType
Pset_ControllerTypeTwoPosition,IfcControllerType
Pset_CooledBeamPHistory,IfcPerformanceHistory
Pset_CooledBeamPHistoryActive,IfcPerformanceHistory
Pset_CooledBeamTypeActive,IfcCooledBeamType
Pset_CooledBeamTypeCommon,IfcCooledBeamType
Pset_CoolingTowerPHistory,IfcPerformanceHistory
Pset_CoolingTowerTypeCommon,IfcCoolingTowerType
Pset_CoveringCeiling,IfcCovering
Pset_CoveringCommon,IfcCovering;IfcCoveringType
Pset_CoveringFlooring,IfcCovering
Pset_CurtainWallCommon,IfcCurtainWall
Pset_DamperPHistory,IfcPerformanceHistory
Pset_DamperTypeCommon,IfcDamperType
Pset_DamperTypeControlDamper,IfcDamperType
Pset_DamperTypeFireDamper,IfcDamperType
Pset_DamperTypeFireSmokeDamper,IfcDamperType
Pset_DamperTypeSmokeDamper,IfcDamperType
Pset_DesignPoint,IfcDistributionPort
Pset_DiscreteAccessoryAnchorBolt,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryColumnShoe,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryCornerFixingPlate,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryDiagonalTrussConnector,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryEdgeFixingPlate,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryFixingSocket,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryLadderTrussConnector,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryStandardFixingPlate,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DiscreteAccessoryWireLoop,IfcDiscreteAccessory;IfcDiscreteAccessoryType
Pset_DistributionChamberElementTypeFormedDuct,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeInspectionChamber,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeInspectionPit,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeManhole,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeMeterChamber,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeSump,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeTrench,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeValveChamber,IfcDistributionChamberElementType
Pset_DistributionFlowElementCommon,IfcDistributionFlowElement;IfcDistributionChamberElement;IfcEnergyConversionDevice;IfcFlowController;IfcFlowFitting;IfcFlowMovingDevice;IfcFlowSegment;IfcFlowStorageDevice;IfcFlowTerminal;IfcFlowTreatmentDevice
Pset_DistributionPortDuct,IfcDistributionPort
Pset_DistributionPortPipe,IfcDistributionPort
Pset_DoorCommon,IfcDoor
Pset_DoorWindowGlazingType,IfcDoor;IfcWindow
Pset_DoorWindowShadingType,IfcDoor;IfcWindow
Pset_DrainageCatchment,IfcSite
Pset_DrainageCulvert,IfcSystem
Pset_DrainageOutfall,IfcProxy
Pset_DrainageReserve,IfcSite
Pset_Draughting,IfcElement;IfcSpatialStructureElement
Pset_DuctConnection,IfcDistributionElement
Pset_DuctDesignCriteria,IfcSystem
Pset_DuctFittingPHistory,IfcPerformanceHistory
Pset_DuctFittingTypeCommon,IfcDuctFittingType
Pset_DuctSegmentPHistory,IfcPerformanceHistory
Pset_DuctSegmentTypeCommon,IfcDuctSegmentType
Pset_DuctSilencerPHistory,IfcPerformanceHistory
Pset_DuctSilencerTypeCommon,IfcDuctSilencerType
Pset_ElectricalCircuit,IfcElectricalCircuit
Pset_ElectricalDeviceCommon,IfcDistributionElement
Pset_ElectricDistributionPointCommon,IfcElectricDistributionPoint
Pset_ElectricGeneratorTypeCommon,IfcElectricGeneratorType
Pset_ElectricHeaterTypeElectricalCableHeater,IfcElectricHeaterType
Pset_ElectricHeaterTypeElectricalMatHeater,IfcElectricHeaterType
Pset_ElectricHeaterTypeElectricalPointHeater,IfcElectricHeaterType
Pset_ElectricMotorTypeCommon,IfcElectricMotorType;IfcFanType;IfcPumpType
Pset_ElementShading,IfcElement
Pset_EnergyConsumptionPHistoryElectricity,IfcPerformanceHistory
Pset_EnergyConsumptionPHistoryFuel,IfcPerformanceHistory
Pset_EnergyConsumptionPHistorySteam,IfcPerformanceHistory
Pset_EnergyConversionDeviceCoil,IfcEnergyConversionDevice
Pset_EnergyConversionDeviceSpaceHeaterPanel,IfcEnergyConversionDevice
Pset_EnergyConversionDeviceSpaceHeaterSectional,IfcEnergyConversionDevice
Pset_EvaporativeCoolerPHistory,IfcPerformanceHistory
Pset_EvaporativeCoolerTypeCommon,IfcEvaporativeCoolerType
Pset_EvaporatorPHistory,IfcPerformanceHistory
Pset_EvaporatorTypeCommon,IfcEvaporatorType
Pset_FanPHistory,IfcPerformanceHistory
Pset_FanTypeCommon,IfcFanType
Pset_FanTypeSmokeControl,IfcFanType
Pset_FilterPHistory,IfcPerformanceHistory
Pset_FilterTypeAirParticleFilter,IfcFilterType
Pset_FilterTypeCommon,IfcFilterType
Pset_FireRatingProperties,IfcSpatialStructureElement;IfcElement
Pset_FireSuppressionTerminalTypeBreechingInlet,IfcFireSuppressionTerminalType
Pset_FireSuppressionTerminalTypeFireHydrant,IfcFireSuppressionTerminalType
Pset_FireSuppressionTerminalTypeHoseReel,IfcFireSuppressionTerminalType
Pset_FireSuppressionTerminalTypeSprinkler,IfcFireSuppressionTerminalType
Pset_FlowControllerDamper,IfcFlowController
Pset_FlowControllerFlowMeter,IfcFlowController
Pset_FlowFittingDuctFitting,IfcFlowFitting
Pset_FlowFittingPipeFitting,IfcFlowFitting
Pset_FlowInstrumentTypePressureGauge,IfcFlowInstrumentType
Pset_FlowInstrumentTypeThermometer,IfcFlowInstrumentType
Pset_FlowMeterTypeCommon,IfcFlowMeterType
Pset_FlowMeterTypeEnergyMeter,IfcFlowMeterType
Pset_FlowMeterTypeGasMeter,IfcFlowMeterType
Pset_FlowMeterTypeOilMeter,IfcFlowMeterType
Pset_FlowMeterTypeWaterMeter,IfcFlowMeterType
