Name,ApplicableClasses
Pset_ActionRequest,IfcActionRequest
Pset_ActorCommon,IfcActor
Pset_ActuatorPHistory,IfcActuator
Pset_ActuatorTypeCommon,IfcActuator
Pset_ActuatorTypeCommon,IfcActuatorType
Pset_ActuatorTypeElectricActuator,IfcActuator
Pset_ActuatorTypeElectricActuator,IfcActuatorType
Pset_ActuatorTypeHydraulicActuator,IfcActuator
Pset_ActuatorTypeHydraulicActuator,IfcActuatorType
Pset_ActuatorTypeLinearActuation,IfcActuator
Pset_ActuatorTypeLinearActuation,IfcActuatorType
Pset_ActuatorTypePneumaticActuator,IfcActuator
Pset_ActuatorTypePneumaticActuator,IfcActuatorType
Pset_ActuatorTypeRotationalActuation,IfcActuator
Pset_ActuatorTypeRotationalActuation,IfcActuatorType
Pset_Address,IfcActor
Pset_Address,IfcBuilding
Pset_Address,IfcSite
Pset_AirSideSystemInformation,IfcSpatialElement
Pset_AirSideSystemInformation,IfcSpatialZone
Pset_AirSideSystemInformation,IfcZone
Pset_AirTerminalBoxPHistory,IfcAirTerminalBox
Pset_AirTerminalBoxTypeCommon,IfcAirTerminalBox
Pset_AirTerminalBoxTypeCommon,IfcAirTerminalBoxType
Pset_AirTerminalOccurrence,IfcAirTerminal
Pset_AirTerminalPHistory,IfcAirTerminal
Pset_AirTerminalTypeCommon,IfcAirTerminal
Pset_AirTerminalTypeCommon,IfcAirTerminalType
Pset_AirToAirHeatRecoveryPHistory,IfcAirToAirHeatRecovery
Pset_AirToAirHeatRecoveryTypeCommon,IfcAirToAirHeatRecovery
Pset_AirToAirHeatRecoveryTypeCommon,IfcAirToAirHeatRecoveryType
Pset_AlarmPHistory,IfcAlarm
Pset_AlarmTypeCommon,IfcAlarm
Pset_AlarmTypeCommon,IfcAlarmType
Pset_AlignmentCantSegmentCommon,IfcAlignmentSegment
Pset_AlignmentVerticalSegmentCommon,IfcAlignmentSegment
Pset_AnnotationContourLine,IfcAnnotation
Pset_AnnotationLineOfSight,IfcAnnotation
Pset_AnnotationSurveyArea,IfcAnnotation
Pset_Asset,IfcAsset
Pset_AudioVisualAppliancePHistory,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeAmplifier,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeAmplifier,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeCamera,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeCamera,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeCommon,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeCommon,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeDisplay,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeDisplay,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypePlayer,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypePlayer,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeProjector,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeProjector,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeRailwayCommunicationTerminal,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeRailwayCommunicationTerminal,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeReceiver,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeReceiver,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeRecordingEquipment,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeRecordingEquipment,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeSpeaker,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeSpeaker,IfcAudioVisualApplianceType
Pset_AudioVisualApplianceTypeTuner,IfcAudioVisualAppliance
Pset_AudioVisualApplianceTypeTuner,IfcAudioVisualApplianceType
Pset_AxleCountingEquipment,IfcSensor
Pset_AxleCountingEquipment,IfcSensorType
Pset_BalanceWeightTensionerDesignCriteria,IfcDiscreteAccessory
Pset_BalanceWeightTensionerDesignCriteria,IfcDiscreteAccessoryType
Pset_BeamCommon,IfcBeam
Pset_BeamCommon,IfcBeamType
Pset_BearingCommon,IfcBearing
Pset_BearingCommon,IfcBearingType
Pset_BerthCommon,IfcSpace
Pset_BerthCommon,IfcSpaceType
Pset_BoilerPHistory,IfcBoiler
Pset_BoilerTypeCommon,IfcBoiler
Pset_BoilerTypeCommon,IfcBoilerType
Pset_BoilerTypeSteam,IfcBoiler
Pset_BoilerTypeSteam,IfcBoilerType
Pset_BoilerTypeWater,IfcBoiler
Pset_BoilerTypeWater,IfcBoilerType
Pset_BoreholeCommon,IfcBorehole
Pset_BoundedCourseCommon,IfcCourse
Pset_BoundedCourseCommon,IfcCourseType
Pset_BreakwaterCommon,IfcMarineFacility
Pset_BridgeCommon,IfcBridge
Pset_BuildingCommon,IfcBuilding
Pset_BuildingElementProxyCommon,IfcBuildingElementProxy
Pset_BuildingElementProxyCommon,IfcBuildingElementProxyType
Pset_BuildingStoreyCommon,IfcBuildingStorey
Pset_BuildingSystemCommon,IfcBuildingSystem
Pset_BuildingUse,IfcBuilding
Pset_BuildingUseAdjacent,IfcBuilding
Pset_BuiltSystemRailwayLine,IfcBuiltSystem
Pset_BuiltSystemRailwayTrack,IfcBuiltSystem
Pset_BurnerTypeCommon,IfcBurner
Pset_BurnerTypeCommon,IfcBurnerType
Pset_CableCarrierFittingTypeCommon,IfcCableCarrierFitting
Pset_CableCarrierFittingTypeCommon,IfcCableCarrierFittingType
Pset_CableCarrierSegmentTypeCableLadderSegment,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeCableLadderSegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeCableTraySegment,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeCableTraySegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeCableTrunkingSegment,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeCableTrunkingSegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeCatenaryWire,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeCatenaryWire,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeCommon,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeCommon,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeConduitSegment,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeConduitSegment,IfcCableCarrierSegmentType
Pset_CableCarrierSegmentTypeDropper,IfcCableCarrierSegment
Pset_CableCarrierSegmentTypeDropper,IfcCableCarrierSegmentType
Pset_CableFittingTypeCommon,IfcCableFitting
Pset_CableFittingTypeCommon,IfcCableFittingType
Pset_CableFittingTypeExit,IfcCableFitting
Pset_CableFittingTypeExit,IfcCableFittingType
Pset_CableFittingTypeFanout,IfcCableFitting
Pset_CableFittingTypeFanout,IfcCableFittingType
Pset_CableSegmentConnector,IfcCableSegment
Pset_CableSegmentConnector,IfcCableSegmentType
Pset_CableSegmentOccurenceFiberSegment,IfcCableSegment
Pset_CableSegmentOccurrence,IfcCableSegment
Pset_CableSegmentTypeBusBarSegment,IfcCableSegment
Pset_CableSegmentTypeBusBarSegment,IfcCableSegmentType
Pset_CableSegmentTypeCableSegment,IfcCableSegment
Pset_CableSegmentTypeCableSegment,IfcCableSegmentType
Pset_CableSegmentTypeCommon,IfcCableSegment
Pset_CableSegmentTypeCommon,IfcCableSegmentType
Pset_CableSegmentTypeConductorSegment,IfcCableSegment
Pset_CableSegmentTypeConductorSegment,IfcCableSegmentType
Pset_CableSegmentTypeContactWire,IfcCableSegment
Pset_CableSegmentTypeContactWire,IfcCableSegmentType
Pset_CableSegmentTypeCoreSegment,IfcCableSegment
Pset_CableSegmentTypeCoreSegment,IfcCableSegmentType
Pset_CableSegmentTypeEarthingConductor,IfcCableSegment
Pset_CableSegmentTypeEarthingConductor,IfcCableSegmentType
Pset_CableSegmentTypeFiberSegment,IfcCableSegment
Pset_CableSegmentTypeFiberSegment,IfcCableSegmentType
Pset_CableSegmentTypeFiberTubeSegment,IfcCableSegment
Pset_CableSegmentTypeFiberTubeSegment,IfcCableSegmentType
Pset_CableSegmentTypeOpticalCableSegment,IfcCableSegment
Pset_CableSegmentTypeOpticalCableSegment,IfcCableSegmentType
Pset_CableSegmentTypeStitchWire,IfcCableSegment
Pset_CableSegmentTypeStitchWire,IfcCableSegmentType
Pset_CableSegmentTypeWirePairSegment,IfcCableSegment
Pset_CableSegmentTypeWirePairSegment,IfcCableSegmentType
Pset_CargoCommon,IfcVehicle
Pset_CargoCommon,IfcVehicleType
Pset_CessBetweenRails,IfcSlab
Pset_CessBetweenRails,IfcSlabType
Pset_ChillerPHistory,IfcChiller
Pset_ChillerTypeCommon,IfcChiller
Pset_ChillerTypeCommon,IfcChillerType
Pset_ChimneyCommon,IfcChimney
Pset_ChimneyCommon,IfcChimneyType
Pset_CivilElementCommon,IfcCivilElement
Pset_CivilElementCommon,IfcCivilElementType
Pset_CoaxialCable,IfcCableSegment
Pset_CoaxialCable,IfcCableSegmentType
Pset_CoilOccurrence,IfcCoil
Pset_CoilPHistory,IfcCoil
Pset_CoilTypeCommon,IfcCoil
Pset_CoilTypeCommon,IfcCoilType
Pset_CoilTypeHydronic,IfcCoil
Pset_CoilTypeHydronic,IfcCoilType
Pset_ColumnCommon,IfcColumn
Pset_ColumnCommon,IfcColumnType
Pset_CommunicationsAppliancePHistory,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeAntenna,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeAntenna,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeAutomaton,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeAutomaton,IfcCommunicationsApplianceType
Pset_CommunicationsApplianceTypeCommon,IfcCommunicationsAppliance
Pset_CommunicationsApplianceTypeCommon,IfcCommunicationsApplianceType
