property_set_name,template_type,applicable_entities,applicable_type_value,property_definitions
Pset_ActionRequest,PSET_TYPEDRIVENOVERRIDE,['IfcActionRequest'],IfcActionRequest,"[{'property_name': 'RequestSourceLabel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'RequestSourceName', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcPerson'}}, {'property_name': 'RequestComments', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcText', 'unit_type': 'None'}}]"
Pset_ActorCommon,PSET_TYPEDRIVENOVERRIDE,['IfcActor'],IfcActor,"[{'property_name': 'NumberOfActors', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcCountMeasure', 'unit_type': 'None'}}, {'property_name': 'Category', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'SkillLevel', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}]"
Pset_ActuatorPHistory,PSET_PERFORMANCEDRIVEN,['IfcActuator'],IfcActuator,"[{'property_name': 'Position', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Quality', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_ActuatorTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcActuator'],IfcActuator,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': None, 'enums': []}}, {'property_name': 'FailPosition', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_FailPosition', 'enums': ['FAILOPEN', 'FAILCLOSED', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ManualOverride', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'Application', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ActuatorApplication', 'enums': ['EntryExitDevice', 'FireSmokeDamperActuator', 'DamperActuator', 'ValvePositioner', 'LampActuator', 'SunblindActuator', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_ActuatorTypeElectricActuator,PSET_TYPEDRIVENOVERRIDE,['IfcActuator/ELECTRICACTUATOR'],IfcActuator/ELECTRICACTUATOR,"[{'property_name': 'ActuatorInputPower', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'ElectricActuatorType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElectricActuatorType', 'enums': ['MOTORDRIVE', 'MAGNETIC', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_ActuatorTypeHydraulicActuator,PSET_TYPEDRIVENOVERRIDE,['IfcActuator/HYDRAULICACTUATOR'],IfcActuator/HYDRAULICACTUATOR,"[{'property_name': 'InputPressure', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': 'None'}}, {'property_name': 'InputFlowrate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}]"
Pset_ActuatorTypeLinearActuation,PSET_TYPEDRIVENOVERRIDE,['IfcActuator'],IfcActuator,"[{'property_name': 'Force', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcForceMeasure', 'unit_type': 'None'}}, {'property_name': 'Stroke', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': 'None'}}]"
Pset_ActuatorTypePneumaticActuator,PSET_TYPEDRIVENOVERRIDE,['IfcActuator/PNEUMATICACTUATOR'],IfcActuator/PNEUMATICACTUATOR,"[{'property_name': 'InputPressure', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': 'None'}}, {'property_name': 'InputFlowrate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}]"
Pset_ActuatorTypeRotationalActuation,PSET_TYPEDRIVENOVERRIDE,['IfcActuator'],IfcActuator,"[{'property_name': 'Torque', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcTorqueMeasure', 'unit_type': 'None'}}, {'property_name': 'RangeAngle', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': 'None'}}]"
Pset_AirSideSystemInformation,PSET_TYPEDRIVENOVERRIDE,"['IfcSpace', 'IfcZone', 'IfcSpatialZone']","IfcSpace,IfcZone,IfcSpatialZone","[{'property_name': 'Name', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'Description', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'AirSideSystemType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirSideSystemType', 'enums': ['CONSTANTVOLUME', 'CONSTANTVOLUMESINGLEZONE', 'CONSTANTVOLUMEMULTIPLEZONEREHEAT', 'CONSTANTVOLUMEBYPASS', 'VARIABLEAIRVOLUME', 'VARIABLEAIRVOLUMEREHEAT', 'VARIABLEAIRVOLUMEINDUCTION', 'VARIABLEAIRVOLUMEFANPOWERED', 'VARIABLEAIRVOLUMEDUALCONDUIT', 'VARIABLEAIRVOLUMEVARIABLEDIFFUSERS', 'VARIABLEAIRVOLUMEVARIABLETEMPERATURE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AirSideSystemDistributionType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirSideSystemDistributionType', 'enums': ['SINGLEDUCT', 'DUALDUCT', 'MULTIZONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'TotalAirflow', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}, {'property_name': 'EnergyGainTotal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'AirflowSensible', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}, {'property_name': 'EnergyGainSensible', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'EnergyLoss', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}, {'property_name': 'LightingDiversity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'InfiltrationDiversitySummer', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'InfiltrationDiversityWinter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'ApplianceDiversity', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'LoadSafetyFactor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'HeatingTemperatureDelta', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'unit_type': 'None'}}, {'property_name': 'CoolingTemperatureDelta', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'unit_type': 'None'}}, {'property_name': 'Ventilation', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}, {'property_name': 'FanPower', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPowerMeasure', 'unit_type': 'None'}}]"
