ApplicableEntity,RelatingObject
IfcBridgePart,IfcBridge
IfcBridgePart,IfcBridgePart
IfcBridge,IfcProject
IfcBridge,IfcSite
IfcBridge,IfcBridge
IfcBuilding,IfcProject
IfcBuilding,IfcSite
IfcBuilding,IfcBuilding
IfcBuildingStorey,IfcBuilding
IfcBuildingStorey,IfcBuildingStorey
IfcExternalSpatialElement,IfcProject
IfcExternalSpatialElement,IfcSite
IfcExternalSpatialElement,IfcExternalSpatialElement
IfcFacilityPartCommon,IfcFacility
IfcFacilityPartCommon,IfcFacilityPartCommon
IfcFacility,IfcProject
IfcFacility,IfcSite
IfcFacility,IfcFacility
IfcMarineFacility,IfcProject
IfcMarineFacility,IfcSite
IfcMarineFacility,IfcMarineFacility
IfcMarinePart,IfcMarineFacility
IfcMarinePart, IfcMarinePart
IfcRailwayPart,IfcRailway
IfcRailwayPart,IfcRailwayPart
IfcRailway,IfcProject
IfcRailway,IfcSite
IfcRailway,IfcRailway
IfcRoadPart,IfcRoad
IfcRoadPart,IfcRoadPart
IfcRoad,IfcProject
IfcRoad,IfcSite
IfcRoad,IfcRoad
IfcSite,IfcProject
IfcSite,IfcSite
IfcSpace,IfcProject
IfcSpace,IfcSite
IfcSpace,IfcBuilding
IfcSpace,IfcBuildingStorey
IfcSpace,IfcSpace
IfcSpace,IfcFacility
IfcSpace,IfcBridge
IfcSpace,IfcMarineFacility
IfcSpace,IfcRailway
IfcSpace,IfcRoad
IfcSpace,IfcFacilityPartCommon
IfcSpace,IfcBridgePart
IfcSpace,IfcMarinePart
IfcSpace,IfcRailwayPart
IfcSpace,IfcRoadPart
